input_order,ligand_id,Canonical SMILES,Butina_clusters,cluster_size,cluster_center_ligand_id
207,261,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,8080,1,261
208,262,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,8079,1,262
209,263,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,1126,3,263
210,264,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,8078,1,264
211,265,CC(C)(C)NCC(O)COc1cccc2c1SCCC2,8077,1,265
212,266,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,8076,1,266
213,268,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,39,15,230
214,269,Cc1cccc(C)c1NC(=O)C(C)N,8075,1,269
215,270,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2077,2,109
216,271,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,8074,1,271
217,272,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,26,17,272
218,273,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,8073,1,273
219,274,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,83,10,274
220,275,Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1,8072,1,275
221,276,COC1CC(OC2C(C)C(=O)OC(C)C(C)C(OC(C)=O)C(C)C(=O)C3(CO3)CC(C)C(OC3OC(C)CC(N(C)C)C3OC(C)=O)C2C)OC(C)C1OC(C)=O,8071,1,276
222,279,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I,98,9,279
223,280,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1N1CCCCC1,59,12,280
224,281,COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC,8070,1,281
225,283,NCCc1ccc(O)c(O)c1,8069,1,283
226,284,Nc1ccc(C(=O)NCC(=O)O)cc1,2029,2,284
227,287,Cc1cccc(Nc2ccccc2C(=O)O)c1C,1035,2,287
228,288,Clc1ccc2nsnc2c1NC1=NCCN1,8068,1,288
229,289,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,8067,1,289
230,292,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,688,4,292
231,293,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,45,14,293
232,294,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,199,7,139
233,295,O=C(O)CCCO,665,3,295
234,298,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,11,21,298
235,299,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,2076,1,299
236,300,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,53,9,202
237,301,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,26,17,272
238,302,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,8066,1,302
239,303,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,8065,1,303
240,306,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,856,3,306
241,307,CN(C)CCCN1c2ccccc2CCc2ccccc21,688,4,292
242,310,CNCCC=C1c2ccccc2CCc2ccccc21,1138,1,310
243,312,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,39,15,230
244,313,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,8064,1,313
245,317,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,8063,1,317
246,318,CC(CS)C(=O)N1CCCC1C(=O)O,8062,1,318
