replicate,btox_median,mean_E_44_median
296,1.7927217818796635,-6.899999999999999
297,1.7915847394615412,-6.961363636363638
298,1.7891124300658703,-6.943181818181817
299,1.805978700518608,-6.912335692618806
300,1.794238648377359,-6.922727272727272
301,1.7965998463332653,-6.9141196013289035
302,1.7905966574326158,-6.936363636363635
303,1.7982903271913528,-6.918181818181818
304,1.8126074820756912,-6.943181818181817
305,1.7915487363934515,-6.949999999999999
306,1.8020930662751198,-6.931818181818182
307,1.7866469845175743,-6.954545454545452
308,1.778395477682352,-6.936363636363637
309,1.7936116755008698,-6.936474501108648
310,1.795560471713543,-6.955179704016913
311,1.7851870516315103,-6.929545454545455
312,1.7890555895864964,-6.960914376321353
313,1.7898605465888977,-6.950000000000001
314,1.7978963225177722,-6.941860465116279
315,1.7885617539286613,-6.90909090909091
316,1.7886025309562683,-6.924999999999999
317,1.8049474954605103,-6.925000000000001
318,1.8057306036353111,-6.950000000000001
319,1.7965364158153534,-6.916279069767441
320,1.785547599196434,-6.915909090909093
321,1.7975931465625763,-6.935714285714283
322,1.805721715092659,-6.940909090909091
323,1.8008186519145966,-6.950000000000002
324,1.807168323546648,-6.924999999999999
325,1.8079375624656677,-6.970941558441558
326,1.7978963225177722,-6.963636363636364
327,1.804788552224636,-6.952272727272728
328,1.8025010153651237,-6.928726215644819
329,1.7965310215950012,-6.956818181818184
330,1.8102341890335083,-6.92325581395349
331,1.798887014389038,-6.947727272727272
332,1.7894262075424194,-6.956818181818179
333,1.7784959394484758,-6.927272727272726
334,1.8036835566163063,-6.936713735558407
335,1.7798496782779694,-6.919529598308667
336,1.7979084849357605,-6.943542128603106
337,1.8001688737422228,-6.952272727272728
338,1.8007522895932198,-6.956818181818184
339,1.7969077373854816,-6.936363636363638
340,1.8134468868374825,-6.937209302325582
341,1.8069569170475006,-6.913953488372093
342,1.810713853687048,-6.937209302325582
343,1.8048192262649536,-6.945454545454545
344,1.7926463335752487,-6.938636363636363
345,1.7907226886600256,-6.934090909090911
346,1.7971205580979586,-6.916279069767441
347,1.8088874518871307,-6.942521141649048
348,1.7974724359810352,-6.9266666666666685
349,1.77976811863482,-6.93235294117647
350,1.8033865988254547,-6.931818181818182
351,1.8067662790417671,-6.959090909090909
352,1.798752598464489,-6.947727272727272
353,1.7922611460089684,-6.927272727272728
354,1.8059628438204527,-6.931818181818182
355,1.8157247453927994,-6.9340909090909095
356,1.8002645540982485,-6.927272727272728
357,1.809177678078413,-6.911363636363636
358,1.790529714897275,-6.93409090909091
359,1.7849013068480417,-6.936363636363637
360,1.8067662790417671,-6.928726215644819
361,1.807413563132286,-6.963636363636363
362,1.7876650318503378,-6.94186046511628
363,1.7885236516594887,-6.947727272727271
364,1.7979624718427658,-6.940909090909091
365,1.8019620440900326,-6.938636363636364
366,1.7891335114836693,-6.913636363636363
367,1.7877355366945267,-6.936363636363635
368,1.8055289164185524,-6.94318181818182
369,1.7863434106111526,-6.922991543340381
370,1.7940919059328735,-6.921951219512197
371,1.7851446494460106,-6.936363636363636
372,1.7991696568205953,-6.94598308668076
373,1.8077096790075302,-6.930681818181818
374,1.8048192262649536,-6.940909090909089
375,1.801476076245308,-6.943181818181817
376,1.7965310215950012,-6.915909090909093
377,1.8104533702135086,-6.931025369978858
378,1.7929982040077448,-6.942521141649048
379,1.805137112736702,-6.918181818181816
380,1.7993261353112757,-6.916279069767441
381,1.7849994245916605,-6.918181818181818
382,1.806795358657837,-6.939534883720929
383,1.7969077373854816,-6.9206923890063425
