split_index,seed,query_set,reference_set,ligand_id,nearest_ligand_id,max_tanimoto_similarity
0,42,val,train,3858,8262,0.25925925925925924
0,42,val,train,3861,3860,0.4117647058823529
0,42,val,train,3875,9438,0.45
0,42,val,train,3877,3860,0.6304347826086957
0,42,val,train,3889,9368,0.43478260869565216
0,42,val,train,3900,761,0.5
0,42,val,train,3901,15061,0.5454545454545454
0,42,val,train,3902,15506,0.4523809523809524
0,42,val,train,3906,3892,0.52
0,42,val,train,3921,13161,0.45714285714285713
0,42,val,train,3924,4270,0.6136363636363636
0,42,val,train,3928,7032,0.6071428571428571
0,42,val,train,3930,3929,0.59375
0,42,val,train,3933,5997,0.25
0,42,val,train,3934,15667,0.509090909090909
0,42,val,train,3940,3943,0.7222222222222222
0,42,val,train,3946,13223,0.6578947368421053
0,42,val,train,3951,13223,0.5609756097560976
0,42,val,train,3963,13223,0.5581395348837209
0,42,val,train,3975,3492,0.4
0,42,val,train,3977,1950,0.3333333333333333
0,42,val,train,4008,7210,0.6428571428571429
0,42,val,train,4012,3636,0.41935483870967744
0,42,val,train,4027,10728,0.5757575757575758
0,42,val,train,4028,15933,0.2978723404255319
0,42,val,train,4046,9344,0.26356589147286824
0,42,val,train,4050,6796,0.717948717948718
0,42,val,train,4052,7325,0.36585365853658536
0,42,val,train,4061,5815,0.45
0,42,val,train,4065,13672,0.575
0,42,val,train,4081,2233,0.5666666666666667
0,42,val,train,4086,537,0.5357142857142857
0,42,val,train,4087,4977,0.5217391304347826
0,42,val,train,4101,15268,0.47619047619047616
0,42,val,train,4123,11129,0.43478260869565216
0,42,val,train,4158,3131,0.6041666666666666
0,42,val,train,4161,2753,0.6666666666666666
0,42,val,train,4210,6491,0.41935483870967744
0,42,val,train,4215,1092,0.41379310344827586
0,42,val,train,4217,1681,0.3333333333333333
0,42,val,train,4218,4864,0.6296296296296297
0,42,val,train,4219,4223,0.696969696969697
0,42,val,train,4224,4223,0.5405405405405406
0,42,val,train,4227,4223,0.6285714285714286
0,42,val,train,4229,3972,0.6486486486486487
0,42,val,train,4231,10688,0.5961538461538461
0,42,val,train,4232,10688,0.5961538461538461
0,42,val,train,4233,10688,0.5961538461538461
0,42,val,train,4234,10688,0.6078431372549019
0,42,val,train,4235,10688,0.5961538461538461
0,42,val,train,4237,10688,0.6530612244897959
0,42,val,train,4246,4247,0.6190476190476191
0,42,val,train,4251,4252,0.6097560975609756
0,42,val,train,4257,2519,0.3275862068965517
0,42,val,train,4259,7583,0.3673469387755102
0,42,val,train,4261,829,0.39473684210526316
0,42,val,train,4288,4282,0.4782608695652174
0,42,val,train,4315,7690,0.5416666666666666
0,42,val,train,4316,4312,0.5909090909090909
0,42,val,train,4356,9,0.34210526315789475
0,42,val,train,4368,7139,0.5370370370370371
0,42,val,train,4373,4501,0.15789473684210525
0,42,val,train,4388,15139,0.2711864406779661
0,42,val,train,4400,11989,0.6041666666666666
0,42,val,train,4407,1803,0.3333333333333333
0,42,val,train,4421,1601,0.5833333333333334
0,42,val,train,4444,2116,0.475
0,42,val,train,4447,2116,0.40816326530612246
0,42,val,train,4463,4413,0.6923076923076923
0,42,val,train,4464,1014,0.48148148148148145
0,42,val,train,4483,11209,0.55
0,42,val,train,4499,5126,0.5517241379310345
0,42,val,train,4503,2318,0.631578947368421
0,42,val,train,4514,10688,0.5961538461538461
0,42,val,train,4519,3229,0.5714285714285714
0,42,val,train,4520,9982,0.5555555555555556
0,42,val,train,4524,11124,0.5142857142857142
0,42,val,train,4534,6797,0.7105263157894737
0,42,val,train,4572,11100,0.5
0,42,val,train,4586,695,0.38461538461538464
0,42,val,train,4591,15415,0.34146341463414637
0,42,val,train,4595,4593,0.5454545454545454
0,42,val,train,4606,4122,0.5714285714285714
0,42,val,train,4611,4097,0.3541666666666667
0,42,val,train,4615,13934,0.5121951219512195
0,42,val,train,4617,8064,0.5405405405405406
0,42,val,train,4618,8064,0.5405405405405406
0,42,val,train,4622,5951,0.5777777777777777
0,42,val,train,4625,8452,0.5
0,42,val,train,4642,5036,0.5925925925925926
0,42,val,train,4649,4675,0.6481481481481481
0,42,val,train,4673,4672,0.7391304347826086
0,42,val,train,4683,4425,0.8297872340425532
0,42,val,train,4691,4688,0.5227272727272727
0,42,val,train,4692,3081,0.43902439024390244
0,42,val,train,4699,4801,0.6060606060606061
0,42,val,train,4704,4675,0.8125
0,42,val,train,4707,3737,0.4782608695652174
0,42,val,train,4718,3737,0.5
