scope,split_index,seed,query_set,reference_set,n_queries,median,p90,p95,p99,maximum,fraction_ge_0.70,fraction_ge_0.80,fraction_ge_0.90
per_split,25,67,test,train,2522,0.5405405405405406,0.6666666666666666,0.7380952380952381,0.8540599593495934,0.9772727272727273,0.0753370340999207,0.024187153053132435,0.0027755749405233942
per_split,25,67,test,val,2522,0.4166666666666667,0.6,0.64,0.7643808049535603,0.8823529411764706,0.024187153053132435,0.004758128469468675,0.0
per_split,25,67,val,train,2073,0.5384615384615384,0.6740803382663847,0.7548710050057759,0.8394857142857144,0.9767441860465116,0.0824891461649783,0.027496382054992764,0.00241196333815726
per_split,26,68,test,train,2492,0.5384615384615384,0.6718390804597707,0.7450980392156863,0.8539721254355406,0.9767441860465116,0.08025682182985554,0.027287319422150885,0.0020064205457463883
per_split,26,68,test,val,2492,0.4186046511627907,0.59375,0.6336991869918698,0.7730325644504754,0.8979591836734694,0.022873194221508828,0.0072231139646869984,0.0
per_split,26,68,val,train,1938,0.5348837209302325,0.6514661274014155,0.7370300751879697,0.85,0.972972972972973,0.06914344685242518,0.02218782249742002,0.0025799793601651187
per_split,27,69,test,train,2521,0.5384615384615384,0.6724137931034483,0.7441860465116279,0.8631313131313136,0.9767441860465116,0.07893692978976596,0.027370091233637445,0.003966679888932963
per_split,27,69,test,val,2521,0.4146341463414634,0.5873015873015873,0.625,0.7565714285714317,0.925,0.017850059500198336,0.005950019833399445,0.001190003966679889
per_split,27,69,val,train,2075,0.5416666666666666,0.6649350649350655,0.7337414965986394,0.8596190476190453,0.9772727272727273,0.0746987951807229,0.02216867469879518,0.005783132530120482
per_split,28,70,test,train,2568,0.5407620735489589,0.673469387755102,0.7484090909090914,0.8434412955465583,0.925,0.07982866043613707,0.029595015576323987,0.003115264797507788
per_split,28,70,test,val,2568,0.42,0.6052631578947368,0.64,0.770220529270248,0.9705882352941176,0.024143302180685357,0.00661993769470405,0.0027258566978193145
per_split,28,70,val,train,2030,0.53125,0.6538461538461539,0.7294763513513512,0.8414947368421053,0.9767441860465116,0.06847290640394088,0.0187192118226601,0.001477832512315271
per_split,29,71,test,train,2496,0.5384615384615384,0.6730769230769231,0.74,0.85,0.9772727272727273,0.08133012820512821,0.024839743589743588,0.003605769230769231
per_split,29,71,test,val,2496,0.41025641025641024,0.5833333333333334,0.6288359788359789,0.7408831908831913,0.972972972972973,0.014423076923076924,0.005208333333333333,0.0008012820512820513
per_split,29,71,val,train,2011,0.5333333333333333,0.6666666666666666,0.728219696969697,0.8461538461538461,0.90625,0.0676280457483839,0.02138239681750373,0.0004972650422675286
all_molecules_pooled,,,test,train,75806,0.5370370370370371,0.6666666666666666,0.74,0.8490566037735849,0.9772727272727273,0.0755481096483128,0.025156320080204735,0.0025063979104556367
all_molecules_pooled,,,test,val,75806,0.4166666666666667,0.5952380952380952,0.6341463414634146,0.7608695652173914,0.9772727272727273,0.02014352425929346,0.0059362055773949296,0.0005804289897897264
all_molecules_pooled,,,val,train,60851,0.5384615384615384,0.6727272727272727,0.7435897435897436,0.85,0.9772727272727273,0.07876616653793693,0.02466680909105849,0.0025965062201114197
